订单ID,订单日期,邮寄方式,国家,地区,省/自治区,细分,类别,子类别,制造商,产品名称,数量,销售额,利润
A1001378,2014/8/8,标准级,中国,西南,云南,小型企业,技术,复印机,夏普,"夏普 传真复印机, 数字化",5,3140.00 ,-668
A1001379,2014/8/9,二级,中国,东北,吉林,消费者,办公用品,信封,Cameo,"Cameo 马尼拉纸信封, 银色",3,412.00 ,8
A1001380,2014/8/9,一级,中国,中南,广东,公司,家具,书架,Sauder,"Sauder 书库, 传统",2,3618.00 ,1556
A1001379,2014/8/9,二级,中国,东北,吉林,消费者,家具,桌子,Hon,"Hon 圆桌, 黑色",4,7223.00 ,1733
A1001379,2014/8/9,二级,中国,东北,吉林,消费者,家具,椅子,Office Star,"Office Star 椅垫, 红色",3,921.00 ,37
A1001379,2014/8/9,二级,中国,东北,吉林,消费者,技术,电话,诺基亚,"诺基亚 办公室电话机, 全尺寸",3,930.00 ,288
A1001381,2014/8/9,标准级,中国,华北,天津,公司,办公用品,美术,Stanley,"Stanley 记号笔, 整包",9,944.00 ,122
A1001382,2014/8/9,标准级,中国,中南,广西,消费者,家具,桌子,Chromcraft,"Chromcraft 培训桌, 组装",4,3995.00 ,-1066
A1001387,2014/8/10,当日,中国,华东,山东,小型企业,办公用品,器具,Breville,"Breville 冰箱, 银色",3,7281.00 ,1529
A1001389,2014/8/10,当日,中国,中南,广东,消费者,家具,书架,Bush,"Bush 搁架, 黑色",11,8861.00 ,2569
A1001387,2014/8/10,当日,中国,华东,山东,小型企业,技术,设备,StarTech,"StarTech 收据打印机, 红色",1,503.00 ,30
A1001386,2014/8/10,一级,中国,华东,山东,小型企业,办公用品,信封,Jiffy,"Jiffy 局间信封, 红色",7,1633.00 ,97
A1001386,2014/8/10,一级,中国,华东,山东,小型企业,办公用品,标签,Avery,"Avery 有色标签, 红色",3,184.00 ,31
A1001386,2014/8/10,一级,中国,华东,山东,小型企业,家具,用具,Tenex,"Tenex 框架, 优质",2,1014.00 ,61
A1001388,2014/8/10,二级,中国,华东,山东,公司,办公用品,纸张,Enermax,"Enermax 羊皮纸, 每包 12 个",3,273.00 ,104
A1001388,2014/8/10,二级,中国,华东,山东,公司,办公用品,装订机,Avery,"Avery 订书机, 透明",3,676.00 ,263
A1001388,2014/8/10,二级,中国,华东,山东,公司,办公用品,装订机,Wilson Jones,"Wilson Jones 装订机盖, 回收",3,162.00 ,29
A1001388,2014/8/10,二级,中国,华东,山东,公司,家具,桌子,Hon,"Hon 电脑桌, 组装",2,2765.00 ,-507
A1001388,2014/8/10,二级,中国,华东,山东,公司,技术,复印机,Brother,"Brother 个人复印机, 红色",6,3951.00 ,790
A1001388,2014/8/10,二级,中国,华东,山东,公司,技术,复印机,夏普,"夏普 传真机, 彩色",9,12478.00 ,2370
A1001388,2014/8/10,二级,中国,华东,山东,公司,技术,设备,StarTech,"StarTech 电话, 多色",3,1043.00 ,208
A1001383,2014/8/10,标准级,中国,华东,上海,消费者,办公用品,标签,Novimex,"Novimex 圆形标签, 红色",1,28.00 ,13
A1001385,2014/8/10,二级,中国,中南,湖南,公司,技术,电话,摩托罗拉,"摩托罗拉 办公室电话机, 全尺寸",3,1023.00 ,470
A1001384,2014/8/10,标准级,中国,西南,云南,消费者,技术,复印机,Brother,"Brother 传真机, 彩色",2,2389.00 ,657
A1001384,2014/8/10,标准级,中国,西南,云南,消费者,技术,电话,三星,"三星 办公室电话机, 混合尺寸",3,953.00 ,105
A1001391,2014/8/11,二级,中国,华东,福建,公司,办公用品,用品,Acme,"Acme 美工刀, 锯齿状",3,290.00 ,-44
A1001391,2014/8/11,二级,中国,华东,福建,公司,办公用品,用品,Fiskars,"Fiskars 尺子, 蓝色",1,40.00 ,-23
A1001394,2014/8/11,二级,中国,西北,甘肃,消费者,办公用品,信封,Cameo,"Cameo 商业信封, 红色",8,765.00 ,328
A1001394,2014/8/11,二级,中国,西北,甘肃,消费者,办公用品,用品,Fiskars,"Fiskars 剪刀, 蓝色",7,454.00 ,-212
A1001391,2014/8/11,二级,中国,华东,福建,公司,家具,书架,Sauder,"Sauder 柜, 金属",6,2791.00 ,139
A1001391,2014/8/11,二级,中国,华东,福建,公司,技术,复印机,夏普,"夏普 复印机, 红色",1,665.00 ,-444
A1001394,2014/8/11,二级,中国,西北,甘肃,消费者,技术,复印机,Brother,"Brother 墨水, 彩色",5,2082.00 ,-1285
A1001393,2014/8/11,标准级,中国,东北,辽宁,消费者,办公用品,标签,Hon,"Hon 有色标签, 耐用",1,62.00 ,23
A1001390,2014/8/11,标准级,中国,中南,湖南,消费者,家具,书架,Sauder,"Sauder 书库, 白色",6,10924.00 ,1420
A1001392,2014/8/11,标准级,中国,中南,湖南,公司,家具,椅子,Harbour Creations,"Harbour Creations 椅垫, 可调",4,1251.00 ,500
A1001392,2014/8/11,标准级,中国,中南,湖南,公司,技术,电话,思科,"思科 智能手机, 整包",2,1293.00 ,258
A1001395,2014/8/12,标准级,中国,华东,上海,小型企业,技术,复印机,佳能,"佳能 复印机, 数字化",6,7330.00 ,1319
A1001399,2014/8/13,一级,中国,中南,河南,消费者,办公用品,用品,Stiletto,"Stiletto 修剪器, 蓝色",2,399.00 ,52
A1001399,2014/8/13,一级,中国,中南,河南,消费者,办公用品,纸张,Eaton,"Eaton 备忘录便条, 多色",4,283.00 ,73
A1001399,2014/8/13,一级,中国,中南,河南,消费者,办公用品,纸张,施乐,"施乐 令, 回收",3,368.00 ,33
A1001399,2014/8/13,一级,中国,中南,河南,消费者,办公用品,装订机,Wilson Jones,"Wilson Jones 装订机盖, 回收",2,108.00 ,19
A1001402,2014/8/13,一级,中国,华东,福建,小型企业,办公用品,信封,GlobeWeis,"GlobeWeis 马尼拉纸信封, 红色",8,1155.00 ,485
A1001403,2014/8/13,二级,中国,华东,山东,消费者,办公用品,标签,Smead,"Smead 文件夹标签, 红色",1,41.00 ,5
A1001404,2014/8/13,一级,中国,中南,湖南,消费者,办公用品,器具,Breville,"Breville 烤面包机, 银色",2,723.00 ,144
A1001404,2014/8/13,一级,中国,中南,湖南,消费者,技术,配件,贝尔金,"贝尔金 键区, 回收",3,778.00 ,155
A1001405,2014/8/13,标准级,中国,东北,吉林,公司,办公用品,系固件,Accos,"Accos 橡皮筋, 金属",8,627.00 ,106
A1001405,2014/8/13,标准级,中国,东北,吉林,公司,家具,椅子,Safco,"SAFCO 沙滩椅, 可调",5,1091.00 ,351
A1001401,2014/8/13,标准级,中国,华东,山东,公司,家具,椅子,Harbour Creations,"Harbour Creations 扶手椅, 每套两件",3,6662.00 ,1265
A1001400,2014/8/13,标准级,中国,中南,湖南,公司,家具,椅子,Harbour Creations,"Harbour Creations 摇椅, 红色",5,2059.00 ,-961
A1001396,2014/8/13,标准级,中国,东北,吉林,消费者,技术,复印机,佳能,"佳能 墨水, 红色",6,4070.00 ,1587
A1001397,2014/8/13,标准级,中国,东北,吉林,公司,技术,电话,诺基亚,"诺基亚 音频基座, 全尺寸",6,4705.00 ,1035
A1001398,2014/8/13,标准级,中国,东北,辽宁,小型企业,办公用品,装订机,Cardinal,"Cardinal 孔加固材料, 透明",2,45.00 ,5
A1001398,2014/8/13,标准级,中国,东北,辽宁,小型企业,家具,椅子,Hon,"Hon 椅垫, 红色",5,1296.00 ,389
A1001413,2014/8/14,一级,中国,西北,甘肃,消费者,办公用品,美术,Boston,"Boston 钢笔, 整包",4,270.00 ,132
A1001411,2014/8/14,一级,中国,华东,山东,小型企业,办公用品,器具,Hoover,"Hoover 咖啡研磨机, 黑色",5,1592.00 ,461
A1001406,2014/8/14,二级,中国,华东,江苏,消费者,办公用品,标签,Hon,"Hon 圆形标签, 红色",1,30.00 ,11
A1001406,2014/8/14,二级,中国,华东,江苏,消费者,办公用品,用品,Fiskars,"Fiskars 剪刀, 蓝色",3,324.00 ,39
A1001406,2014/8/14,二级,中国,华东,江苏,消费者,办公用品,装订机,Acco,"Acco 订书机, 透明",8,1887.00 ,604
A1001406,2014/8/14,二级,中国,华东,江苏,消费者,家具,书架,宜家,"宜家 书架, 金属",3,1709.00 ,17
A1001407,2014/8/14,标准级,中国,中南,海南,小型企业,办公用品,收纳具,Rogers,"Rogers 盘, 单宽度",3,864.00 ,345
A1001415,2014/8/14,二级,中国,中南,河南,消费者,办公用品,器具,Breville,"Breville 咖啡研磨机, 白色",2,560.00 ,123
A1001407,2014/8/14,标准级,中国,中南,海南,小型企业,家具,用具,Eldon,"Eldon 相框, 耐用",8,2059.00 ,370
A1001410,2014/8/14,标准级,中国,华东,福建,消费者,技术,配件,Memorex,"Memorex 路由器, 实惠",5,3447.00 ,-230
A1001414,2014/8/14,标准级,中国,东北,黑龙江,公司,办公用品,信封,Jiffy,"Jiffy 局间信封, 回收",3,633.00 ,13
A1001409,2014/8/14,标准级,中国,西南,四川,消费者,办公用品,器具,Cuisinart,"Cuisinart 冰箱, 白色",4,9225.00 ,922
A1001412,2014/8/14,二级,中国,中南,河南,公司,家具,椅子,Office Star,"Office Star 扶手椅, 可调",4,7895.00 ,3246
A1001414,2014/8/14,标准级,中国,东北,黑龙江,公司,家具,用具,Rubbermaid,"Rubvermaid 灯泡, 耐用",2,89.00 ,4
A1001408,2014/8/14,二级,中国,华东,福建,消费者,家具,书架,Safco,"Safco 搁架, 传统",3,2754.00 ,578
A1001408,2014/8/14,二级,中国,华东,福建,消费者,技术,复印机,佳能,"佳能 传真复印机, 每套两件",4,3572.00 ,143
A1001417,2014/8/15,当日,中国,西南,四川,消费者,办公用品,装订机,Ibico,"Ibico 装订机盖, 回收",1,65.00 ,12
A1001420,2014/8/15,二级,中国,东北,辽宁,消费者,办公用品,纸张,SanDisk,"SanDisk 令, 优质",5,695.00 ,195
A1001419,2014/8/15,二级,中国,华东,山东,消费者,办公用品,系固件,OIC,"OIC 订书钉, 金属",2,107.00 ,7
A1001420,2014/8/15,二级,中国,东北,辽宁,消费者,家具,书架,Sauder,"Sauder 书库, 黑色",4,7261.00 ,1016
A1001418,2014/8/15,二级,中国,华东,山东,消费者,办公用品,收纳具,Tenex,"Tenex 文件车, 金属",1,622.00 ,199
A1001418,2014/8/15,二级,中国,华东,山东,消费者,家具,用具,Rubbermaid,"Rubvermaid 灯泡, 耐用",1,74.00 ,32
A1001418,2014/8/15,二级,中国,华东,山东,消费者,技术,配件,Memorex,"Memorex 鼠标, 耐用",3,397.00 ,91
A1001416,2014/8/15,标准级,中国,中南,湖南,消费者,家具,书架,Bush,"Bush 古典书架, 黑色",3,5796.00 ,1333
A1001421,2014/8/15,标准级,中国,东北,吉林,消费者,技术,设备,爱普生,"爱普生 喷墨打印机, 多色",2,2877.00 ,949
A1001424,2014/8/16,一级,中国,华北,内蒙古,小型企业,办公用品,系固件,Stockwell,"Stockwell 按钉, 整包",4,268.00 ,83
A1001426,2014/8/16,标准级,中国,中南,广东,公司,办公用品,收纳具,Smead,"Smead 搁板, 单宽度",1,228.00 ,68
A1001425,2014/8/16,标准级,中国,华东,安徽,小型企业,办公用品,标签,Harbour Creations,"Harbour Creations 合法证物标签, 白色",4,204.00 ,4
A1001425,2014/8/16,标准级,中国,华东,安徽,小型企业,办公用品,系固件,OIC,"OIC 夹子, 混合尺寸",3,241.00 ,24
A1001425,2014/8/16,标准级,中国,华东,安徽,小型企业,办公用品,美术,Sanford,"Sanford 铅笔刀, 混合尺寸",5,542.00 ,-95
A1001425,2014/8/16,标准级,中国,华东,安徽,小型企业,办公用品,装订机,Cardinal,"Cardinal 订书机, 实惠",2,465.00 ,172
A1001425,2014/8/16,标准级,中国,华东,安徽,小型企业,技术,复印机,夏普,"夏普 传真机, 彩色",4,5546.00 ,1053
A1001425,2014/8/16,标准级,中国,华东,安徽,小型企业,技术,电话,诺基亚,"诺基亚 信号增强器, 混合尺寸",2,1301.00 ,52
A1001425,2014/8/16,标准级,中国,华东,安徽,小型企业,技术,电话,诺基亚,"诺基亚 耳机, 全尺寸",3,1042.00 ,260
A1001425,2014/8/16,标准级,中国,华东,安徽,小型企业,技术,配件,Memorex,"Memorex 闪存驱动器, 耐用",7,967.00 ,76
A1001422,2014/8/16,标准级,中国,中南,广东,消费者,办公用品,用品,Elite,"Elite 开信刀, 蓝色",5,637.00 ,6
A1001422,2014/8/16,标准级,中国,中南,广东,消费者,办公用品,系固件,Accos,"Accos 图钉, 每包 12 个",2,122.00 ,52
A1001422,2014/8/16,标准级,中国,中南,广东,消费者,家具,桌子,Hon,"Hon 圆桌, 组装",1,1811.00 ,193
A1001423,2014/8/16,标准级,中国,华北,河北,消费者,办公用品,装订机,Acco,"Acco 装订机, 透明",7,477.00 ,0
A1001428,2014/8/18,标准级,中国,西南,重庆,公司,办公用品,信封,Ames,"Ames 商业信封, 回收",2,125.00 ,7
A1001427,2014/8/18,二级,中国,华东,江西,消费者,办公用品,纸张,Enermax,"Enermax 笔记本, 每包 12 个",2,305.00 ,79
A1001427,2014/8/18,二级,中国,华东,江西,消费者,技术,复印机,佳能,"佳能 复印机, 每套两件",3,3670.00 ,991
A1001429,2014/8/18,标准级,中国,华东,江苏,消费者,办公用品,纸张,Green Bar,"Green Bar 令, 优质",3,417.00 ,108
A1001429,2014/8/18,标准级,中国,华东,江苏,消费者,办公用品,装订机,Ibico,"Ibico 订书机, 回收",3,435.00 ,-15
A1001430,2014/8/19,当日,中国,东北,黑龙江,小型企业,办公用品,器具,Breville,"Breville 咖啡研磨机, 黑色",2,572.00 ,154
A1001430,2014/8/19,当日,中国,东北,黑龙江,小型企业,办公用品,装订机,Acco,"Acco 订书机, 耐用",3,736.00 ,199
A1001430,2014/8/19,当日,中国,东北,黑龙江,小型企业,家具,椅子,Harbour Creations,"Harbour Creations 摇椅, 黑色",2,1350.00 ,472
A1001431,2014/8/20,二级,中国,华东,上海,消费者,办公用品,系固件,OIC,"OIC 图钉, 整包",9,355.00 ,-113
A1001431,2014/8/20,二级,中国,华东,上海,消费者,家具,椅子,Safco,"SAFCO 凳子, 每套两件",1,477.00 ,-262
A1001434,2014/8/20,标准级,中国,华北,内蒙古,小型企业,办公用品,信封,GlobeWeis,"GlobeWeis 邮寄品, 回收",2,349.00 ,139
A1001434,2014/8/20,标准级,中国,华北,内蒙古,小型企业,办公用品,器具,Breville,"Breville 冰箱, 白色",1,2415.00 ,266
A1001434,2014/8/20,标准级,中国,华北,内蒙古,小型企业,办公用品,系固件,Advantus,"Advantus 按钉, 混合尺寸",2,111.00 ,50
A1001434,2014/8/20,标准级,中国,华北,内蒙古,小型企业,办公用品,装订机,Ibico,"Ibico 孔加固材料, 耐用",1,40.00 ,18
A1001432,2014/8/20,标准级,中国,东北,黑龙江,消费者,办公用品,收纳具,Rogers,"Rogers 搁板, 金属",1,286.00 ,48
A1001432,2014/8/20,标准级,中国,东北,黑龙江,消费者,办公用品,标签,Harbour Creations,"Harbour Creations 运输标签, 红色",3,158.00 ,32
A1001432,2014/8/20,标准级,中国,东北,黑龙江,消费者,办公用品,用品,Acme,"Acme 修剪器, 钢",1,205.00 ,45
A1001432,2014/8/20,标准级,中国,东北,黑龙江,消费者,家具,书架,Sauder,"Sauder 柜, 黑色",5,3921.00 ,745
A1001432,2014/8/20,标准级,中国,东北,黑龙江,消费者,家具,用具,Tenex,"Tenex 框架, 耐用",3,1498.00 ,75
A1001435,2014/8/20,标准级,中国,东北,吉林,公司,办公用品,信封,Kraft,"Kraft 邮寄品, 红色",2,384.00 ,138
A1001433,2014/8/20,标准级,中国,中南,广东,公司,家具,书架,Bush,"Bush 柜, 黑色",7,4728.00 ,945
A1001433,2014/8/20,标准级,中国,中南,广东,公司,家具,用具,Tenex,"Tenex 门挡, 一包多件",1,205.00 ,70
A1001435,2014/8/20,标准级,中国,东北,吉林,公司,技术,设备,爱普生,"爱普生 喷墨打印机, 耐用",2,2878.00 ,892
A1001436,2014/8/21,二级,中国,西北,甘肃,消费者,办公用品,收纳具,Fellowes,"Fellowes 锁柜, 单宽度",1,968.00 ,377
A1001436,2014/8/21,二级,中国,西北,甘肃,消费者,家具,用具,Advantus,"Advantus 闹钟, 优质",2,280.00 ,-42
A1001440,2014/8/21,二级,中国,中南,湖南,公司,家具,书架,Bush,"Bush 搁架, 黑色",3,1450.00 ,-266
A1001440,2014/8/21,二级,中国,中南,湖南,公司,家具,椅子,Safco,"SAFCO 凳子, 每套两件",7,3336.00 ,-1835
A1001439,2014/8/21,二级,中国,华东,山东,公司,办公用品,装订机,Cardinal,"Cardinal 孔加固材料, 回收",5,133.00 ,64
A1001438,2014/8/21,标准级,中国,华东,山东,消费者,办公用品,用品,Acme,"Acme 大剪刀, 蓝色",5,699.00 ,-338
A1001439,2014/8/21,二级,中国,华东,山东,公司,家具,椅子,Harbour Creations,"Harbour Creations 沙滩椅, 每套两件",3,805.00 ,80
A1001438,2014/8/21,标准级,中国,华东,山东,消费者,家具,椅子,Office Star,"Office Star 折叠椅, 黑色",4,1000.00 ,-550
A1001437,2014/8/21,标准级,中国,中南,广东,消费者,办公用品,纸张,Green Bar,"Green Bar 计划信息表, 回收",1,111.00 ,47
A1001443,2014/8/22,二级,中国,中南,湖南,小型企业,家具,椅子,Hon,"Hon 凳子, 每套两件",3,2323.00 ,604
A1001442,2014/8/22,二级,中国,东北,辽宁,小型企业,办公用品,标签,Novimex,"Novimex 圆形标签, 可调",3,58.00 ,26
A1001442,2014/8/22,二级,中国,东北,辽宁,小型企业,技术,复印机,夏普,"夏普 墨水, 每套两件",2,697.00 ,-395
A1001441,2014/8/22,标准级,中国,东北,辽宁,小型企业,办公用品,用品,Fiskars,"Fiskars 尺子, 锯齿状",3,93.00 ,-11
A1001441,2014/8/22,标准级,中国,东北,辽宁,小型企业,家具,椅子,Hon,"Hon 摇椅, 红色",8,2926.00 ,243
A1001441,2014/8/22,标准级,中国,东北,辽宁,小型企业,家具,椅子,Safco,"SAFCO 扶手椅, 红色",3,3876.00 ,258
A1001441,2014/8/22,标准级,中国,东北,辽宁,小型企业,家具,用具,Tenex,"Tenex 相框, 优质",3,424.00 ,0
A1001445,2014/8/23,二级,中国,中南,广东,消费者,家具,用具,Tenex,"Tenex 门挡, 黑色",3,614.00 ,301
A1001444,2014/8/23,标准级,中国,华东,山东,小型企业,办公用品,收纳具,Rogers,"Rogers 文件夹, 金属",5,694.00 ,257
A1001446,2014/8/23,标准级,中国,西南,重庆,公司,家具,用具,Eldon,"Eldon 相框, 优质",1,265.00 ,26
A1001447,2014/8/24,一级,中国,西南,四川,消费者,办公用品,收纳具,Tenex,"Tenex 文件夹, 金属",3,312.00 ,28
A1001449,2014/8/24,标准级,中国,华东,山东,公司,办公用品,美术,Binney & Smith,"Binney & Smith 钢笔, 蓝色",4,45.00 ,-112
A1001450,2014/8/24,标准级,中国,中南,广东,公司,办公用品,收纳具,Smead,"Smead 盘, 金属",3,666.00 ,266
A1001450,2014/8/24,标准级,中国,中南,广东,公司,办公用品,纸张,SanDisk,"SanDisk 备忘录便条, 优质",3,238.00 ,12
A1001450,2014/8/24,标准级,中国,中南,广东,公司,家具,用具,Deflect-O,"Deflect-O 分层置放架, 黑色",1,118.00 ,45
A1001450,2014/8/24,标准级,中国,中南,广东,公司,技术,配件,SanDisk,"SanDisk 路由器, 可编程",5,6017.00 ,1684
A1001448,2014/8/24,标准级,中国,东北,黑龙江,消费者,办公用品,信封,Kraft,"Kraft 外皮和封条, 每套 50 个",2,191.00 ,0
A1001448,2014/8/24,标准级,中国,东北,黑龙江,消费者,家具,用具,Rubbermaid,"Rubvermaid 闹钟, 优质",3,683.00 ,27
A1001454,2014/8/25,一级,中国,华东,安徽,公司,办公用品,装订机,Cardinal,"Cardinal 装订机, 回收",2,132.00 ,42
A1001454,2014/8/25,一级,中国,华东,安徽,公司,办公用品,装订机,Cardinal,"Cardinal 装订机, 实惠",2,129.00 ,28
A1001453,2014/8/25,二级,中国,华北,天津,公司,办公用品,系固件,Stockwell,"Stockwell 回形针, 整包",10,630.00 ,132
A1001453,2014/8/25,二级,中国,华北,天津,公司,家具,椅子,Safco,"SAFCO 折叠椅, 每套两件",2,739.00 ,41
A1001451,2014/8/25,二级,中国,华东,上海,公司,家具,书架,宜家,"宜家 搁架, 金属",4,1902.00 ,-920
A1001451,2014/8/25,二级,中国,华东,上海,公司,技术,复印机,Hewlett,"Hewlett 墨水, 彩色",1,420.00 ,-196
A1001452,2014/8/25,标准级,中国,华北,河北,消费者,技术,复印机,惠普,"惠普 复印机, 红色",2,2258.00 ,45
A1001455,2014/8/27,二级,中国,华东,山东,消费者,办公用品,信封,Kraft,"Kraft 邮寄品, 银色",8,1495.00 ,328
A1001455,2014/8/27,二级,中国,华东,山东,消费者,家具,椅子,Novimex,"Novimex 椅垫, 可调",1,275.00 ,129
A1001455,2014/8/27,二级,中国,华东,山东,消费者,家具,椅子,Safco,"SAFCO 沙滩椅, 可调",5,1212.00 ,473
A1001456,2014/8/27,标准级,中国,中南,广东,公司,办公用品,装订机,Ibico,"Ibico 订书机, 实惠",5,720.00 ,-48
A1001457,2014/8/27,标准级,中国,西北,陕西,消费者,办公用品,信封,Cameo,"Cameo 邮寄品, 每套 50 个",3,534.00 ,256
A1001458,2014/8/27,标准级,中国,中南,广东,小型企业,办公用品,信封,Ames,"Ames 邮寄品, 银色",4,714.00 ,300
A1001462,2014/8/28,当日,中国,华东,上海,消费者,办公用品,系固件,Accos,"Accos 按钉, 每包 12 个",3,195.00 ,0
A1001459,2014/8/28,标准级,中国,东北,黑龙江,小型企业,办公用品,收纳具,Eldon,"Eldon 搁板, 蓝色",2,452.00 ,54
A1001459,2014/8/28,标准级,中国,东北,黑龙江,小型企业,办公用品,装订机,Cardinal,"Cardinal 装订机, 耐用",3,215.00 ,53
A1001459,2014/8/28,标准级,中国,东北,黑龙江,小型企业,办公用品,装订机,Ibico,"Ibico 标签, 回收",2,87.00 ,22
A1001459,2014/8/28,标准级,中国,东北,黑龙江,小型企业,家具,椅子,Safco,"SAFCO 椅垫, 红色",3,754.00 ,92
A1001464,2014/8/28,标准级,中国,华东,上海,公司,家具,书架,宜家,"宜家 搁架, 黑色",2,1602.00 ,641
A1001463,2014/8/28,标准级,中国,华东,江苏,消费者,家具,桌子,Bevis,"Bevis 培训桌, 黑色",2,2345.00 ,-282
A1001461,2014/8/28,标准级,中国,华东,安徽,消费者,家具,椅子,Hon,"Hon 椅垫, 可调",8,1949.00 ,866
A1001460,2014/8/28,标准级,中国,东北,黑龙江,消费者,家具,椅子,Office Star,"Office Star 摇椅, 每套两件",8,5345.00 ,160
A1001461,2014/8/28,标准级,中国,华东,安徽,消费者,技术,复印机,佳能,"佳能 墨水, 彩色",4,2774.00 ,249
A1001471,2014/8/29,当日,中国,中南,湖南,公司,技术,电话,摩托罗拉,"摩托罗拉 音频基座, 整包",2,971.00 ,162
A1001465,2014/8/29,二级,中国,华北,河北,小型企业,技术,复印机,夏普,"夏普 复印机, 彩色",3,2697.00 ,674
A1001469,2014/8/29,标准级,中国,中南,广东,消费者,办公用品,收纳具,Smead,"Smead 文件车, 金属",3,1785.00 ,696
A1001470,2014/8/29,标准级,中国,西北,甘肃,消费者,办公用品,收纳具,Smead,"Smead 文件车, 蓝色",3,1798.00 ,683
A1001469,2014/8/29,标准级,中国,中南,广东,消费者,办公用品,美术,Stanley,"Stanley 铅笔刀, 蓝色",3,278.00 ,38
A1001468,2014/8/29,标准级,中国,东北,吉林,消费者,办公用品,纸张,SanDisk,"SanDisk 信纸, 多色",4,930.00 ,251
A1001466,2014/8/29,标准级,中国,中南,广东,小型企业,家具,书架,Sauder,"Sauder 书库, 黑色",12,21783.00 ,3049
A1001469,2014/8/29,标准级,中国,中南,广东,消费者,家具,桌子,Barricks,"Barricks 木桌, 组装",5,9072.00 ,2298
A1001470,2014/8/29,标准级,中国,西北,甘肃,消费者,家具,用具,Tenex,"Tenex 框架, 优质",11,3345.00 ,-1896
A1001468,2014/8/29,标准级,中国,东北,吉林,消费者,技术,复印机,惠普,"惠普 传真复印机, 红色",2,1597.00 ,463
A1001467,2014/8/29,标准级,中国,华北,河北,公司,办公用品,纸张,Eaton,"Eaton 令, 每包 12 个",2,286.00 ,92
A1001467,2014/8/29,标准级,中国,华北,河北,公司,办公用品,纸张,Green Bar,"Green Bar 羊皮纸, 优质",1,78.00 ,12
A1001467,2014/8/29,标准级,中国,华北,河北,公司,家具,书架,宜家,"宜家 古典书架, 白色",3,5800.00 ,1624
A1001474,2014/8/30,二级,中国,东北,辽宁,小型企业,家具,桌子,Chromcraft,"Chromcraft 木桌, 白色",3,5089.00 ,-475
A1001473,2014/8/30,标准级,中国,华北,内蒙古,消费者,办公用品,装订机,Wilson Jones,"Wilson Jones 订书机, 耐用",2,471.00 ,169
A1001472,2014/8/30,标准级,中国,东北,黑龙江,消费者,技术,设备,柯尼卡,"柯尼卡 收据打印机, 多色",2,1141.00 ,91
A1001475,2014/8/31,标准级,中国,华东,安徽,公司,办公用品,器具,KitchenAid,"KitchenAid 冰箱, 银色",2,4934.00 ,1776
A1001479,2014/8/31,标准级,中国,中南,广西,小型企业,技术,设备,StarTech,"StarTech 喷墨打印机, 白色",2,1681.00 ,-448
A1001478,2014/8/31,标准级,中国,中南,广东,小型企业,办公用品,信封,Ames,"Ames 马尼拉纸信封, 红色",3,395.00 ,150
A1001478,2014/8/31,标准级,中国,中南,广东,小型企业,技术,设备,柯尼卡,"柯尼卡 收据打印机, 耐用",2,685.00 ,45
A1001477,2014/8/31,标准级,中国,中南,广东,小型企业,办公用品,装订机,Ibico,"Ibico 装订机盖, 透明",3,184.00 ,31
A1001476,2014/8/31,标准级,中国,华北,内蒙古,消费者,技术,配件,贝尔金,"贝尔金 路由器, 耐用",2,2417.00 ,1015
A1001480,2014/9/1,二级,中国,华北,内蒙古,小型企业,办公用品,装订机,Cardinal,"Cardinal 装订机盖, 透明",5,267.00 ,90
A1001480,2014/9/1,二级,中国,华北,内蒙古,小型企业,家具,椅子,Novimex,"Novimex 摇椅, 可调",3,1875.00 ,168
A1001483,2014/9/1,二级,中国,东北,黑龙江,消费者,家具,书架,Bush,"Bush 书架, 黑色",2,1165.00 ,291
A1001481,2014/9/1,标准级,中国,中南,湖南,公司,办公用品,装订机,Cardinal,"Cardinal 装订机盖, 耐用",5,189.00 ,-113
A1001482,2014/9/1,二级,中国,华东,山东,消费者,办公用品,收纳具,Smead,"Smead 盘, 单宽度",3,679.00 ,129
A1001486,2014/9/3,一级,中国,华北,河北,公司,技术,设备,冲电器,"冲电器 打印机, 白色",2,2491.00 ,822
A1001485,2014/9/3,标准级,中国,华东,浙江,公司,办公用品,纸张,Green Bar,"Green Bar 备忘录便条, 多色",3,257.00 ,31
A1001487,2014/9/3,标准级,中国,中南,广西,小型企业,技术,电话,摩托罗拉,"摩托罗拉 办公室电话机, 全尺寸",6,2045.00 ,941
A1001484,2014/9/3,标准级,中国,华东,江西,小型企业,技术,设备,柯尼卡,"柯尼卡 打印机, 白色",6,7455.00 ,1416
A1001488,2014/9/4,标准级,中国,西南,云南,消费者,办公用品,标签,Hon,"Hon 运输标签, 可调",3,130.00 ,1
A1001488,2014/9/4,标准级,中国,西南,云南,消费者,办公用品,纸张,Enermax,"Enermax 信纸, 回收",8,1755.00 ,227
A1001488,2014/9/4,标准级,中国,西南,云南,消费者,办公用品,装订机,Acco,"Acco 订书机, 实惠",3,715.00 ,221
A1001488,2014/9/4,标准级,中国,西南,云南,消费者,家具,椅子,Novimex,"Novimex 沙滩椅, 每套两件",5,1125.00 ,416
A1001489,2014/9/4,二级,中国,中南,广东,公司,办公用品,器具,Breville,"Breville 微波炉, 白色",7,9795.00 ,685
A1001490,2014/9/4,标准级,中国,西南,云南,公司,家具,椅子,Novimex,"Novimex 凳子, 可调",2,1558.00 ,701
